flag_id,check,severity,cbsa_code,cbsa_title,year,measure,detail,dispositioned
7c2d86d4e5,cross_source_jobs,BLOCKER,12540,"Bakersfield-Delano, CA",2016,qcew_job_growth,"qcew_job_growth +0.7% vs ces_job_growth -0.6% (centered diff +1.5%, z +3.9); verify boundary/source before publishing",False
c0e2a8d1f2,cross_source_jobs,BLOCKER,24340,"Grand Rapids-Wyoming-Kentwood, MI",2016,qcew_job_growth,"qcew_job_growth +4.4% vs ces_job_growth +2.7% (centered diff +1.9%, z +4.9); verify boundary/source before publishing",False
0efa86e499,cross_source_jobs,BLOCKER,28660,"Killeen-Temple, TX",2016,qcew_job_growth,"qcew_job_growth +1.6% vs ces_job_growth +2.8% (centered diff -1.2%, z -3.1); verify boundary/source before publishing",False
414bb67d25,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2017,qcew_job_growth,"qcew_job_growth +3.4% vs ces_job_growth +1.5% (centered diff +2.0%, z +6.6); verify boundary/source before publishing",False
b99ce7f219,cross_source_jobs,BLOCKER,20500,"Durham-Chapel Hill, NC",2018,qcew_job_growth,"qcew_job_growth +2.7% vs ces_job_growth +1.7% (centered diff +1.0%, z +3.1); verify boundary/source before publishing",False
e2d7e37dec,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2018,qcew_job_growth,"qcew_job_growth +3.3% vs ces_job_growth +1.6% (centered diff +1.6%, z +4.9); verify boundary/source before publishing",False
4951edae30,cross_source_jobs,BLOCKER,20500,"Durham-Chapel Hill, NC",2019,qcew_job_growth,"qcew_job_growth +2.5% vs ces_job_growth +1.3% (centered diff +1.2%, z +3.4); verify boundary/source before publishing",False
fe9b039015,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2019,qcew_job_growth,"qcew_job_growth +3.0% vs ces_job_growth +1.1% (centered diff +1.9%, z +5.5); verify boundary/source before publishing",False
82e2b229a0,cross_source_jobs,BLOCKER,20500,"Durham-Chapel Hill, NC",2020,qcew_job_growth,"qcew_job_growth -1.4% vs ces_job_growth -3.3% (centered diff +2.1%, z +3.1); verify boundary/source before publishing",False
667c68884c,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2020,qcew_job_growth,"qcew_job_growth -3.8% vs ces_job_growth -8.6% (centered diff +5.0%, z +7.5); verify boundary/source before publishing",False
472418c9b6,cross_source_jobs,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020,qcew_job_growth,"qcew_job_growth -6.1% vs ces_job_growth -8.3% (centered diff +2.4%, z +3.6); verify boundary/source before publishing",False
a45b0aaeb2,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2021,qcew_job_growth,"qcew_job_growth +5.4% vs ces_job_growth +3.4% (centered diff +2.3%, z +5.1); verify boundary/source before publishing",False
bd13a5996e,cross_source_jobs,BLOCKER,25420,"Harrisburg-Carlisle, PA",2022,qcew_job_growth,"qcew_job_growth +2.5% vs ces_job_growth +4.3% (centered diff -1.5%, z -3.1); verify boundary/source before publishing",False
4bcd87aaa2,cross_source_jobs,BLOCKER,35620,"New York-Newark-Jersey City, NY-NJ",2022,qcew_job_growth,"qcew_job_growth +5.4% vs ces_job_growth +7.3% (centered diff -1.5%, z -3.2); verify boundary/source before publishing",False
3eb8d3c878,cross_source_jobs,BLOCKER,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022,qcew_job_growth,"qcew_job_growth +3.8% vs ces_job_growth +5.9% (centered diff -1.8%, z -3.7); verify boundary/source before publishing",False
937882a166,cross_source_jobs,BLOCKER,23420,"Fresno, CA",2023,qcew_job_growth,"qcew_job_growth +1.5% vs ces_job_growth +3.3% (centered diff -1.6%, z -3.5); verify boundary/source before publishing",False
8ddbe8ec6e,cross_source_jobs,BLOCKER,19780,"Des Moines-West Des Moines, IA",2024,qcew_job_growth,"qcew_job_growth +4.5% vs ces_job_growth +1.3% (centered diff +3.4%, z +4.2); verify boundary/source before publishing",False
b7ecb559d8,cross_source_jobs,BLOCKER,24340,"Grand Rapids-Wyoming-Kentwood, MI",2024,qcew_job_growth,"qcew_job_growth +3.4% vs ces_job_growth +0.4% (centered diff +3.2%, z +3.9); verify boundary/source before publishing",False
388e7e8c2a,cross_source_jobs,BLOCKER,35620,"New York-Newark-Jersey City, NY-NJ",2024,qcew_job_growth,"qcew_job_growth -0.8% vs ces_job_growth +2.3% (centered diff -2.9%, z -3.5); verify boundary/source before publishing",False
770930e2b5,cross_source_jobs,BLOCKER,38300,"Pittsburgh, PA",2024,qcew_job_growth,"qcew_job_growth +3.4% vs ces_job_growth +1.0% (centered diff +2.6%, z +3.1); verify boundary/source before publishing",False
eae8b3f3b4,cross_source_income,BLOCKER,26420,"Houston-Pasadena-The Woodlands, TX",2016,bea_income_growth,"bea_income_growth -6.2% vs qcew_pay_growth -1.8% (centered diff -5.1%, z -2.9); verify boundary/source before publishing",False
