flag_id,check,severity,cbsa_code,cbsa_title,year,measure,detail,dispositioned
7c2d86d4e5,cross_source_jobs,BLOCKER,12540,"Bakersfield-Delano, CA",2016,qcew_job_growth,"qcew_job_growth +0.7% vs ces_job_growth -0.6% (centered diff +1.5%, z +3.9); verify boundary/source before publishing",True
c0e2a8d1f2,cross_source_jobs,BLOCKER,24340,"Grand Rapids-Wyoming-Kentwood, MI",2016,qcew_job_growth,"qcew_job_growth +4.3% vs ces_job_growth +2.7% (centered diff +1.7%, z +4.7); verify boundary/source before publishing",True
0efa86e499,cross_source_jobs,BLOCKER,28660,"Killeen-Temple, TX",2016,qcew_job_growth,"qcew_job_growth +1.6% vs ces_job_growth +2.8% (centered diff -1.2%, z -3.1); verify boundary/source before publishing",True
414bb67d25,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2017,qcew_job_growth,"qcew_job_growth +3.4% vs ces_job_growth +1.5% (centered diff +2.0%, z +6.6); verify boundary/source before publishing",True
b99ce7f219,cross_source_jobs,BLOCKER,20500,"Durham-Chapel Hill, NC",2018,qcew_job_growth,"qcew_job_growth +2.7% vs ces_job_growth +1.7% (centered diff +1.0%, z +3.1); verify boundary/source before publishing",True
e2d7e37dec,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2018,qcew_job_growth,"qcew_job_growth +3.3% vs ces_job_growth +1.6% (centered diff +1.6%, z +4.9); verify boundary/source before publishing",True
4951edae30,cross_source_jobs,BLOCKER,20500,"Durham-Chapel Hill, NC",2019,qcew_job_growth,"qcew_job_growth +2.5% vs ces_job_growth +1.3% (centered diff +1.2%, z +3.4); verify boundary/source before publishing",True
fe9b039015,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2019,qcew_job_growth,"qcew_job_growth +3.0% vs ces_job_growth +1.1% (centered diff +1.9%, z +5.5); verify boundary/source before publishing",True
82e2b229a0,cross_source_jobs,BLOCKER,20500,"Durham-Chapel Hill, NC",2020,qcew_job_growth,"qcew_job_growth -1.4% vs ces_job_growth -3.3% (centered diff +2.1%, z +3.2); verify boundary/source before publishing",True
667c68884c,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2020,qcew_job_growth,"qcew_job_growth -3.8% vs ces_job_growth -8.6% (centered diff +5.0%, z +7.5); verify boundary/source before publishing",True
472418c9b6,cross_source_jobs,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020,qcew_job_growth,"qcew_job_growth -6.1% vs ces_job_growth -8.3% (centered diff +2.4%, z +3.6); verify boundary/source before publishing",True
a45b0aaeb2,cross_source_jobs,BLOCKER,40140,"Riverside-San Bernardino-Ontario, CA",2021,qcew_job_growth,"qcew_job_growth +5.4% vs ces_job_growth +3.4% (centered diff +2.3%, z +5.1); verify boundary/source before publishing",True
