cbsa_code,cbsa_title,year,column,value
19430,"Dayton-Kettering-Beavercreek, OH",2023,zori,1201.727143748157
19430,"Dayton-Kettering-Beavercreek, OH",2024,avg_annual_pay,63086.0
19430,"Dayton-Kettering-Beavercreek, OH",2024,emp_hhi,0.11794057552204902
19430,"Dayton-Kettering-Beavercreek, OH",2024,housing_units,375325.0
19430,"Dayton-Kettering-Beavercreek, OH",2024,net_migration,
19430,"Dayton-Kettering-Beavercreek, OH",2024,per_capita_income,62359.44946090004
19430,"Dayton-Kettering-Beavercreek, OH",2024,permits_mf,571.0
19430,"Dayton-Kettering-Beavercreek, OH",2024,permits_total,2056.0
19430,"Dayton-Kettering-Beavercreek, OH",2024,population,821740.0
19430,"Dayton-Kettering-Beavercreek, OH",2024,rental_vacancy,0.06799731766005286
19430,"Dayton-Kettering-Beavercreek, OH",2024,total_emp,371885.0
19430,"Dayton-Kettering-Beavercreek, OH",2024,zhvi,218071.3376563972
19430,"Dayton-Kettering-Beavercreek, OH",2024,zori,1268.2313079448365
23420,"Fresno, CA",2022,avg_annual_pay,53753.48918749048
23420,"Fresno, CA",2022,emp_hhi,0.08040873167761692
23420,"Fresno, CA",2022,housing_units,395942.0
23420,"Fresno, CA",2022,net_migration,-2499.0
23420,"Fresno, CA",2022,per_capita_income,50412.32810285337
23420,"Fresno, CA",2022,permits_mf,714.0
23420,"Fresno, CA",2022,permits_total,4628.0
23420,"Fresno, CA",2022,population,1177521.0
23420,"Fresno, CA",2022,rental_vacancy,0.02936502179460971
23420,"Fresno, CA",2022,total_emp,466173.0
23420,"Fresno, CA",2022,zhvi,385635.11059567524
23420,"Fresno, CA",2022,zori,1756.5847372092833
23420,"Fresno, CA",2023,avg_annual_pay,55805.305816039916
23420,"Fresno, CA",2023,emp_hhi,0.08079808145258739
23420,"Fresno, CA",2023,housing_units,399660.0
23420,"Fresno, CA",2023,net_migration,-3043.0
23420,"Fresno, CA",2023,per_capita_income,52513.715445182585
23420,"Fresno, CA",2023,permits_mf,764.0
23420,"Fresno, CA",2023,permits_total,4263.0
23420,"Fresno, CA",2023,population,1183301.0
23420,"Fresno, CA",2023,rental_vacancy,0.030017765358183762
23420,"Fresno, CA",2023,total_emp,473157.0
23420,"Fresno, CA",2023,zhvi,384602.96491839085
23420,"Fresno, CA",2023,zori,1846.96638086907
23420,"Fresno, CA",2024,avg_annual_pay,57688.52108758633
23420,"Fresno, CA",2024,emp_hhi,0.08307109387697331
23420,"Fresno, CA",2024,housing_units,403271.0
23420,"Fresno, CA",2024,net_migration,
23420,"Fresno, CA",2024,per_capita_income,56699.37800374425
23420,"Fresno, CA",2024,permits_mf,304.0
23420,"Fresno, CA",2024,permits_total,3782.0
23420,"Fresno, CA",2024,population,1189557.0
23420,"Fresno, CA",2024,rental_vacancy,0.03696611690180706
23420,"Fresno, CA",2024,total_emp,483934.0
23420,"Fresno, CA",2024,zhvi,401330.2423752078
23420,"Fresno, CA",2024,zori,1906.4945733140055
25540,"Hartford-West Hartford-East Hartford, CT",2022,avg_annual_pay,75677.0
25540,"Hartford-West Hartford-East Hartford, CT",2022,emp_hhi,0.11140108088594229
25540,"Hartford-West Hartford-East Hartford, CT",2022,housing_units,498933.0
25540,"Hartford-West Hartford-East Hartford, CT",2022,net_migration,-2065.0
25540,"Hartford-West Hartford-East Hartford, CT",2022,per_capita_income,71815.64140556933
25540,"Hartford-West Hartford-East Hartford, CT",2022,permits_mf,
25540,"Hartford-West Hartford-East Hartford, CT",2022,permits_total,
25540,"Hartford-West Hartford-East Hartford, CT",2022,population,1151750.0
25540,"Hartford-West Hartford-East Hartford, CT",2022,rental_vacancy,0.03678702250130821
25540,"Hartford-West Hartford-East Hartford, CT",2022,total_emp,602873.0
25540,"Hartford-West Hartford-East Hartford, CT",2022,zhvi,305768.8900887138
25540,"Hartford-West Hartford-East Hartford, CT",2022,zori,1602.338385568977
25540,"Hartford-West Hartford-East Hartford, CT",2023,avg_annual_pay,77963.0
25540,"Hartford-West Hartford-East Hartford, CT",2023,emp_hhi,0.10542234275879449
25540,"Hartford-West Hartford-East Hartford, CT",2023,housing_units,501000.0
25540,"Hartford-West Hartford-East Hartford, CT",2023,net_migration,-1977.0
25540,"Hartford-West Hartford-East Hartford, CT",2023,per_capita_income,75411.12690438263
25540,"Hartford-West Hartford-East Hartford, CT",2023,permits_mf,1385.0
25540,"Hartford-West Hartford-East Hartford, CT",2023,permits_total,2058.0
25540,"Hartford-West Hartford-East Hartford, CT",2023,population,1160000.0
25540,"Hartford-West Hartford-East Hartford, CT",2023,rental_vacancy,0.05588614529671354
25540,"Hartford-West Hartford-East Hartford, CT",2023,total_emp,610960.0
25540,"Hartford-West Hartford-East Hartford, CT",2023,zhvi,331428.5376184305
25540,"Hartford-West Hartford-East Hartford, CT",2023,zori,1717.7114113688867
25540,"Hartford-West Hartford-East Hartford, CT",2024,avg_annual_pay,81328.0
25540,"Hartford-West Hartford-East Hartford, CT",2024,emp_hhi,0.0987031244691302
25540,"Hartford-West Hartford-East Hartford, CT",2024,housing_units,503328.0
25540,"Hartford-West Hartford-East Hartford, CT",2024,net_migration,
25540,"Hartford-West Hartford-East Hartford, CT",2024,per_capita_income,79426.6048501198
25540,"Hartford-West Hartford-East Hartford, CT",2024,permits_mf,1169.0
25540,"Hartford-West Hartford-East Hartford, CT",2024,permits_total,1887.0
25540,"Hartford-West Hartford-East Hartford, CT",2024,population,1169048.0
25540,"Hartford-West Hartford-East Hartford, CT",2024,rental_vacancy,0.04268432147073914
25540,"Hartford-West Hartford-East Hartford, CT",2024,total_emp,616380.8132088151
25540,"Hartford-West Hartford-East Hartford, CT",2024,zhvi,365361.5448291334
25540,"Hartford-West Hartford-East Hartford, CT",2024,zori,1838.0001367774187
