comparison,kind,delta,lo,hi,excludes_0
full - equal_weight,baseline uplift,0.07020921623668114,0.014702712199922491,0.12059844489403485,True
full - best_single (momentum),baseline uplift,0.04399966591093929,-0.0670596021198406,0.1538073732108886,False
full - persistence,baseline uplift,0.2199315405240117,0.11539623402395914,0.35009952111759857,True
drop:cost_to_own_vs_rent (drop helps if >0),ablation delta,0.02306057151207952,-0.005206515444767184,0.055677797492228905,False
drop:income_growth (drop helps if >0),ablation delta,0.025368744205241267,-0.002024036286197929,0.052553675425213255,False
drop:employment_diversity (drop helps if >0),ablation delta,0.005088198372669883,-0.014888278139002552,0.019898748826578747,False
drop:permits_to_stock (drop helps if >0),ablation delta,-0.0473563299432635,-0.13658533822454036,0.019698640358194512,False
drop:net_migration (drop helps if >0),ablation delta,-0.28150851771950935,-0.3769693776622972,-0.13090213195471892,True
