scheme,n_ind,tau_3y,ci_lo,ci_hi,gap_vs_best,gap_lo,gap_hi,reliably_worse
hand-set (v1),10,0.44438848907785133,0.35688540973647376,0.5020599416717632,0.037405192550705735,-0.0027257911527687954,0.07484874675522747,False
equal-weight,10,0.4054028824022284,0.3260014645682287,0.45869326215613787,0.07639079922632869,0.031736045428540034,0.11307928161884316,True
de-duplicated,8,0.44394820155483483,0.35580350809097855,0.5143707638184826,0.03784548007372224,-0.01757524136890765,0.08106957248390816,False
demand-tilted,10,0.48179368162855707,0.3888514719125321,0.5344340147601764,0.0,0.0,0.0,False
