pred_year,n_metros,tau_current,tau_variant
2016,110,0.6117642308085031,0.636065741497413
2017,110,0.6331741861361071,0.6170831559163336
2018,110,0.5890468536233852,0.5551717309536995
2019,110,0.5069875391618192,0.5532221371444623
2021,110,0.2857057809002568,0.24485805321771692
2022,110,-0.04022624832947955,-0.199962420165167
