horizon,regime,n_windows,mean_tau,mean_precision@10
1,pre_covid,4,0.6521725371720424,0.825
1,shock,2,0.3148470579792748,0.44999999999999996
1,normalization,1,0.1553088093593093,0.5
1,POOLED,7,0.48481329628657555,0.6714285714285715
3,pre_covid,4,0.6015173547367715,0.875
3,shock,2,0.13013075776001104,0.25
3,POOLED,6,0.44438848907785133,0.6666666666666666
