measure,standalone_tau,auto_orient_flipped,max_abs_corr,top_corr_with,delta_tau_5,ci5_lo,ci5_hi,delta_tau_10,ci10_lo,ci10_hi,pass,leg,tau_current,tau_variant,gap,gap_ci_lo,gap_ci_hi,prong_a_pass,edition_spearman,prong_b_pass,verdict,bootstrap_B,seed
permit_momentum_total,0.14234320018647015,True,0.18689963896856762,net_migration,0.009145522102519343,-0.009176092223641066,0.02485356733035359,0.0030403254734358565,-0.027367926511339912,0.028098098742148567,False,augmentation,,,,,,,,,REJECT ALL,800,42
permit_momentum_total_rate,0.21187550213040907,True,0.23108520799847718,trailing_rent_growth,0.02306571528332918,-0.0006405430620352006,0.0440174167469493,0.025986286182098972,-0.012434112026413644,0.059571448339889546,False,augmentation,,,,,,,,,REJECT ALL,800,42
permit_momentum_mf,0.03965105156628529,True,0.07268111360519175,cost_to_own_vs_rent,-0.0037667738564530207,-0.015991433907745243,0.013664241105398336,-0.00933416384774527,-0.03179485057216095,0.020559372587757446,False,augmentation,,,,,,,,,REJECT ALL,800,42
permit_momentum_mf_rate,0.02480403406702498,True,0.17970970694347488,trailing_rent_growth,0.0013801409380462815,-0.014610933577726682,0.01661552430918016,-0.014013808384029824,-0.03954057664710582,0.00954782907277564,False,augmentation,,,,,,,,,REJECT ALL,800,42
permit_momentum_total,,,,,,,,,,,False,replacement,0.4310753903834319,0.40107306642740975,-0.030002323956022148,-0.07690498739692626,0.004694401316920988,False,0.4708833938191736,False,REJECT ALL,800,42
