ranking,tau,lo,hi
full,0.4310753903834319,0.33129269438687875,0.5089417612128481
equal_weight,0.33964977591040474,0.23622053995605144,0.4128909421677332
best_single (momentum),0.3914833282303641,0.2907910635517062,0.4676298393840598
drop:cost_to_own_vs_rent,0.4465230666060928,0.34621834616697267,0.5191631230301091
drop:income_growth,0.4579962778390028,0.353280046601452,0.5387487464870601
drop:employment_diversity,0.44649470165158306,0.3432819678374082,0.519435889499234
drop:permits_to_stock,0.37607054824301506,0.2762421504352351,0.43006627989900315
drop:net_migration,0.14505330868921537,0.01877729184178707,0.314644694188915
persistence,0.21555145361729167,0.07283180892778093,0.3050653519173895
