pred_year,n_metros,tau_current,tau_multi_year
2016,110,0.6117642308085031,0.37458211727051965
2017,110,0.6331741861361071,0.623391614167383
2018,110,0.5890468536233852,0.6251840060244515
2019,110,0.5069875391618192,0.49386140631836634
2021,110,0.2857057809002568,0.22505420706445034
2022,110,-0.04022624832947955,-0.1641433218554233
