cbsa_code,cbsa_title,fred_id,year,ours,fred,pct_diff,note
38060,"Phoenix-Mesa-Chandler, AZ",PHOE004BPPRIV,2023,45616,44702.0,0.02044651246029261,
38060,"Phoenix-Mesa-Chandler, AZ",PHOE004BPPRIV,2024,45884,44491.0,0.03130970308601744,
38300,"Pittsburgh, PA",PITT342BPPRIV,2023,6342,4938.0,0.28432563791008514,
38300,"Pittsburgh, PA",PITT342BPPRIV,2024,5412,6090.0,-0.1113300492610837,
38900,"Portland-Vancouver-Hillsboro, OR-WA",PORT941BPPRIV,2023,11382,11254.0,0.01137373378354356,
38900,"Portland-Vancouver-Hillsboro, OR-WA",PORT941BPPRIV,2024,9453,9132.0,0.035151116951379846,
38940,"Port St. Lucie, FL",PORT912BPPRIV,2023,6137,6119.0,0.0029416571335185715,
38940,"Port St. Lucie, FL",PORT912BPPRIV,2024,5515,5601.0,-0.015354400999821438,
39580,"Raleigh-Cary, NC",RALE537BPPRIV,2023,20619,20674.0,-0.0026603463287220297,
39580,"Raleigh-Cary, NC",RALE537BPPRIV,2024,18979,19107.0,-0.006699115507405651,
39900,"Reno, NV",RENO932BPPRIV,2023,4650,4271.0,0.08873800046827451,
39900,"Reno, NV",RENO932BPPRIV,2024,4391,4391.0,0.0,
40060,"Richmond, VA",RICH051BPPRIV,2023,9973,10042.0,-0.006871141206930886,
40060,"Richmond, VA",RICH051BPPRIV,2024,8642,8673.0,-0.003574311080364323,
40140,"Riverside-San Bernardino-Ontario, CA",RIVE106BPPRIV,2023,20268,18449.0,0.09859612987153765,
40140,"Riverside-San Bernardino-Ontario, CA",RIVE106BPPRIV,2024,15824,15201.0,0.04098414577988296,
40900,"Sacramento-Roseville-Folsom, CA",SACR906BPPRIV,2023,11941,11679.0,0.0224334275194793,
40900,"Sacramento-Roseville-Folsom, CA",SACR906BPPRIV,2024,11613,11363.0,0.022001232068995957,
41180,"St. Louis, MO-IL",STLBPPRIV,2023,7107,7376.0,-0.036469631236442535,
41180,"St. Louis, MO-IL",STLBPPRIV,2024,7017,6789.0,0.03358373840035345,
41620,"Salt Lake City-Murray, UT",SALT649BPPRIV,2023,9235,9195.0,0.004350190320826508,
41620,"Salt Lake City-Murray, UT",SALT649BPPRIV,2024,5447,6008.0,-0.09337549933422107,
