predictor,appr_tau_3y,appr_p@10_3y,appr_tau_1y
rent-growth composite (v2),0.3150714740797131,0.5833333333333334,0.3627743030109705
price momentum (trailing appr),0.2713621011499541,0.3666666666666667,0.5287878323278924
high yield (rent/price),-0.05244424747726997,0.3333333333333333,-0.01860547510367085
low valuation (-price/rent),-0.05244424747726997,0.3333333333333333,-0.01860547510367085
