strategy,mean_pp,min_pp,max_pp,mean_tau
50/50 blend,5.080236236329892,-5.49605025127976,11.552324937959746,0.45327701313616614
Composite (model),5.739161353246197,-1.742179359441756,11.981991438675688,0.43548299414130337
Equal weight,1.9076848427393447,-6.781802019545221,6.791492893393858,0.36527377790462223
Momentum (trailing rent),4.774374368130212,-4.279769916317881,10.597042854355344,0.3914833282303641
Persistence (3-yr trailing),1.4573084358961994,-5.688182766237617,7.756494078042408,0.21555145361729167
Random (50-seed mean),0.24908366245577085,-0.4004697302805426,0.724628182822869,
