model,tau_3y,prec_3y,tau_3y_preCOVID,tau_1y,best_single_name,uplift_tau_3y_vs_full
Full model (composite),0.4310753903834319,0.65,0.5852432024324536,0.4902246504548712,,0.0
Best single indicator,0.3914833282303641,0.65,0.5345541496945638,0.6209555087483901,trailing_rent_growth,0.0395920621530678
Momentum only (trailing rent),0.3914833282303641,0.65,0.5345541496945638,0.6209555087483901,,0.0395920621530678
Equal weight (8 ind.),0.3396497759104047,0.5833333333333334,0.5204661747297287,0.4237676162624806,,0.0914256144730271
Persistence (trailing h-yr),0.2155514536172916,0.375,0.3905041719660607,0.621395093055545,,0.2155239367661402
Industry-style index (equal weight),0.13799128966474258,0.3333333333333333,0.2543630729041383,0.1694338836134424,,0.2930841007186893
Random (avg of seeds),0.0016832784438357,0.2613333333333333,-0.0019292974587555,-0.0089816017767448,,0.4293921119395962
