horizon,strategy,n_windows,pooled_tau,tau_min,tau_max,mean_pp,pp_min,prec10
1,Composite (finalized),7,0.4902246504548712,0.17250039830974356,0.7298748825407181,2.160234967481291,0.4227370979811962,0.6714285714285715
1,Composite (2024-vintage config),7,0.4824768692338252,0.20700001205351082,0.7302043875416373,1.919149023240757,-0.18461192399175652,0.6285714285714287
1,Momentum,7,0.6209555087483901,0.17719627123462553,0.8410119739590044,2.377690956481682,0.41188955575147335,0.6571428571428571
2,Composite (finalized),7,0.42470121382334364,-0.20670704984832441,0.6822464627489859,3.9323799370512593,-0.2512963649290656,0.6428571428571429
2,Composite (2024-vintage config),7,0.42217389244482206,-0.14643089769857912,0.6922690213169601,3.4753114534870724,-1.9871240382707913,0.5714285714285714
2,Momentum,7,0.5251079442225424,-0.15501386063661618,0.7651435649137848,3.866769424297386,-1.9130032751134383,0.6285714285714284
3,Composite (finalized),6,0.4310753903834319,-0.04022624832947955,0.6331741861361071,5.983046553455977,-1.742179359441756,0.65
3,Composite (2024-vintage config),6,0.4076785167204267,-0.04845873419277177,0.6133331639177304,5.193811284409468,-4.529426838920848,0.6333333333333333
3,Momentum,6,0.3914833282303641,-0.015427223976008696,0.7115667941910129,4.7743743681302115,-4.279769916317881,0.65
4,Composite (finalized),5,0.46399728661485495,0.19052500089750496,0.6022535328495833,8.48228510656535,-1.7196265124796606,0.7000000000000001
4,Composite (2024-vintage config),5,0.4314771207468725,0.19130757818518,0.5652948299598725,7.918120965230251,-1.1022212152878548,0.6799999999999999
4,Momentum,5,0.37984422312598853,0.0514273123285574,0.5944693822689425,6.617485448450313,-4.131791910479343,0.58
5,Composite (finalized),4,0.4985219707486273,0.3918164498048673,0.5836149977436076,11.124722964201386,7.796314123209097,0.75
5,Composite (2024-vintage config),4,0.4565371159433085,0.32774402897882926,0.5467561472614271,10.461963983792423,6.616260167989946,0.7
5,Momentum,4,0.40125934900858296,0.17592659212477207,0.556950052834704,8.38762798727024,4.756506878570016,0.55
6,Composite (finalized),4,0.48404657942854235,0.4380112046812167,0.5487497657687578,9.871060286659729,5.038797135663159,0.65
6,Composite (2024-vintage config),4,0.4654936794853825,0.4034491349423293,0.539419012202189,9.443919184514879,3.6305812793340495,0.6
6,Momentum,4,0.4155601689465735,0.3291499523358091,0.5550200474987941,6.462809892482591,2.143642264440937,0.47500000000000003
