pred_year,regime,n,spearman_raw,partial_after_momentum,error_correlation
2016,pre_covid,110,0.7256665494587166,0.44804546106662135,0.391956843356427
2017,pre_covid,110,0.6575058382315009,0.35608309044675984,0.584457582224992
2018,pre_covid,110,0.5165499021755361,0.17025374859752335,0.5601591090280986
2019,pre_covid,110,0.6116701380498021,0.24486187316262004,0.6440765470479326
2021,shock,110,0.18323911024738315,0.19686285150929062,0.7637910558879232
2022,shock,110,-0.09248289107183708,0.017577646462838645,0.7720000107620073
