month,cbsa_code,yoy
2019-03,10740,0.0449
2019-04,10740,0.0434
2019-05,10740,0.0445
2019-06,10740,0.0488
2019-07,10740,0.0517
2019-08,10740,0.0532
2019-09,10740,0.0533
2019-10,10740,0.0532
2019-11,10740,0.0522
2019-12,10740,0.0509
2020-01,10740,0.0533
2020-02,10740,0.0557
2020-03,10740,0.0563
2020-04,10740,0.0516
2020-05,10740,0.0431
2020-06,10740,0.0424
2020-07,10740,0.0456
2020-08,10740,0.0511
2020-09,10740,0.0556
2020-10,10740,0.0604
2020-11,10740,0.0668
2020-12,10740,0.0711
2021-01,10740,0.0753
2021-02,10740,0.082
2021-03,10740,0.091
2021-04,10740,0.1097
2021-05,10740,0.1319
2021-06,10740,0.1455
2021-07,10740,0.1539
2021-08,10740,0.163
2021-09,10740,0.1723
2021-10,10740,0.1751
2021-11,10740,0.1715
2021-12,10740,0.176
2022-01,10740,0.176
2022-02,10740,0.1748
2022-03,10740,0.1703
2022-04,10740,0.1644
2022-05,10740,0.1612
2022-06,10740,0.151
2022-07,10740,0.1442
2022-08,10740,0.125
2022-09,10740,0.1107
2022-10,10740,0.1046
2022-11,10740,0.1065
2022-12,10740,0.0988
2023-01,10740,0.0943
2023-02,10740,0.0826
2023-03,10740,0.0811
2023-04,10740,0.0714
2023-05,10740,0.0616
2023-06,10740,0.0547
2023-07,10740,0.0459
2023-08,10740,0.0476
2023-09,10740,0.0463
2023-10,10740,0.0457
2023-11,10740,0.0422
2023-12,10740,0.0405
2024-01,10740,0.0371
2024-02,10740,0.0403
2024-03,10740,0.0333
2024-04,10740,0.0351
2024-05,10740,0.0313
2024-06,10740,0.0349
2024-07,10740,0.0362
2024-08,10740,0.0363
2024-09,10740,0.0349
2024-10,10740,0.0309
2024-11,10740,0.0271
2024-12,10740,0.0286
2025-01,10740,0.0318
2025-02,10740,0.0333
2025-03,10740,0.0344
2025-04,10740,0.031
2025-05,10740,0.0309
2025-06,10740,0.0261
2025-07,10740,0.0259
2025-08,10740,0.0248
2025-09,10740,0.0267
2025-10,10740,0.0269
2025-11,10740,0.0247
2025-12,10740,0.0182
2026-01,10740,0.0112
2026-02,10740,0.0061
2026-03,10740,0.006
2026-04,10740,0.0063
2026-05,10740,0.0073
2018-01,10900,0.0426
2018-02,10900,0.042
2018-03,10900,0.038
2018-04,10900,0.0401
2018-05,10900,0.0378
2018-06,10900,0.0384
2018-07,10900,0.039
2018-08,10900,0.044
2018-09,10900,0.0439
2018-10,10900,0.0399
2018-11,10900,0.0331
2018-12,10900,0.0301
2019-01,10900,0.0293
2019-02,10900,0.0333
2019-03,10900,0.0306
2019-04,10900,0.031
2019-05,10900,0.0315
2019-06,10900,0.0391
2019-07,10900,0.0383
2019-08,10900,0.038
2019-09,10900,0.0369
2019-10,10900,0.0406
2019-11,10900,0.0462
2019-12,10900,0.0497
2020-01,10900,0.056
2020-02,10900,0.0543
2020-03,10900,0.0508
2020-04,10900,0.0454
2020-05,10900,0.0432
2020-06,10900,0.0386
2020-07,10900,0.0415
2020-08,10900,0.0481
2020-09,10900,0.0583
2020-10,10900,0.0693
2020-11,10900,0.0747
2020-12,10900,0.079
2021-01,10900,0.0735
2021-02,10900,0.0767
2021-03,10900,0.0916
2021-04,10900,0.1084
2021-05,10900,0.1257
2021-06,10900,0.1396
2021-07,10900,0.1535
2021-08,10900,0.1534
2021-09,10900,0.1506
2021-10,10900,0.143
2021-11,10900,0.1455
2021-12,10900,0.1496
2022-01,10900,0.1599
2022-02,10900,0.1606
2022-03,10900,0.1516
2022-04,10900,0.1446
2022-05,10900,0.1325
2022-06,10900,0.1227
2022-07,10900,0.1011
2022-08,10900,0.0914
2022-09,10900,0.0802
2022-10,10900,0.0714
2022-11,10900,0.0596
2022-12,10900,0.0507
2023-01,10900,0.0484
2023-02,10900,0.0493
2023-03,10900,0.051
2023-04,10900,0.0437
2023-05,10900,0.0384
2023-06,10900,0.0327
2023-07,10900,0.0388
2023-08,10900,0.0423
2023-09,10900,0.0456
2023-10,10900,0.05
2023-11,10900,0.048
2023-12,10900,0.0431
2024-01,10900,0.0333
2024-02,10900,0.0276
2024-03,10900,0.0279
2024-04,10900,0.0311
2024-05,10900,0.0354
2024-06,10900,0.0387
2024-07,10900,0.0384
2024-08,10900,0.0346
2024-09,10900,0.0376
2024-10,10900,0.0354
2024-11,10900,0.0433
2024-12,10900,0.0477
2025-01,10900,0.0512
2025-02,10900,0.0498
2025-03,10900,0.0442
2025-04,10900,0.0438
2025-05,10900,0.0403
2025-06,10900,0.0383
2025-07,10900,0.0368
2025-08,10900,0.0391
2025-09,10900,0.0346
2025-10,10900,0.0353
2025-11,10900,0.0302
2025-12,10900,0.03
2026-01,10900,0.0314
2026-02,10900,0.0327
2026-03,10900,0.0362
2026-04,10900,0.0347
2026-05,10900,0.0374
2018-01,12060,0.0676
2018-02,12060,0.0667
2018-03,12060,0.0648
2018-04,12060,0.0636
2018-05,12060,0.0617
2018-06,12060,0.0605
2018-07,12060,0.0582
2018-08,12060,0.0571
2018-09,12060,0.0546
2018-10,12060,0.0621
2018-11,12060,0.0647
2018-12,12060,0.0686
2019-01,12060,0.0656
2019-02,12060,0.0646
2019-03,12060,0.0637
2019-04,12060,0.0628
2019-05,12060,0.0624
2019-06,12060,0.0627
2019-07,12060,0.0627
2019-08,12060,0.0643
2019-09,12060,0.0659
2019-10,12060,0.0592
2019-11,12060,0.0525
2019-12,12060,0.0479
2020-01,12060,0.0475
2020-02,12060,0.0475
2020-03,12060,0.0486
2020-04,12060,0.0461
2020-05,12060,0.0426
2020-06,12060,0.0391
2020-07,12060,0.0407
2020-08,12060,0.042
2020-09,12060,0.0434
2020-10,12060,0.0488
2020-11,12060,0.0571
2020-12,12060,0.0656
2021-01,12060,0.0757
2021-02,12060,0.0858
2021-03,12060,0.0925
2021-04,12060,0.1048
2021-05,12060,0.1202
2021-06,12060,0.141
2021-07,12060,0.1559
2021-08,12060,0.1726
2021-09,12060,0.1873
2021-10,12060,0.1972
2021-11,12060,0.1991
2021-12,12060,0.1941
2022-01,12060,0.1845
2022-02,12060,0.173
2022-03,12060,0.1657
2022-04,12060,0.1573
2022-05,12060,0.1495
2022-06,12060,0.1342
2022-07,12060,0.1196
2022-08,12060,0.0989
2022-09,12060,0.0795
2022-10,12060,0.0618
2022-11,12060,0.0514
2022-12,12060,0.0481
2023-01,12060,0.0442
2023-02,12060,0.0425
2023-03,12060,0.0413
2023-04,12060,0.0374
2023-05,12060,0.0292
2023-06,12060,0.0184
2023-07,12060,0.0104
2023-08,12060,0.0052
2023-09,12060,0.0025
2023-10,12060,0.0014
2023-11,12060,-0.0
2023-12,12060,-0.003
2024-01,12060,-0.0014
2024-02,12060,0.0001
2024-03,12060,-0.0036
2024-04,12060,-0.0053
2024-05,12060,-0.0059
2024-06,12060,0.0004
2024-07,12060,0.0022
2024-08,12060,0.0042
2024-09,12060,0.0062
2024-10,12060,0.0089
2024-11,12060,0.0113
2024-12,12060,0.0125
2025-01,12060,0.0121
2025-02,12060,0.0125
2025-03,12060,0.0147
2025-04,12060,0.0151
2025-05,12060,0.0143
2025-06,12060,0.0142
2025-07,12060,0.0177
2025-08,12060,0.0229
2025-09,12060,0.0259
2025-10,12060,0.0269
2025-11,12060,0.0254
2025-12,12060,0.0235
2026-01,12060,0.0198
2026-02,12060,0.0135
2026-03,12060,0.0102
2026-04,12060,0.0099
2026-05,12060,0.0137
2018-01,12260,0.0473
2018-02,12260,0.037
2018-03,12260,0.0364
2018-04,12260,0.0374
2018-05,12260,0.0431
2018-06,12260,0.0442
2018-07,12260,0.0421
2018-08,12260,0.0377
2018-09,12260,0.0364
2018-10,12260,0.0358
2018-11,12260,0.0307
2018-12,12260,0.0302
2019-01,12260,0.0284
2019-02,12260,0.0412
2019-03,12260,0.0408
2019-04,12260,0.0432
2019-05,12260,0.0372
2019-06,12260,0.0423
2019-07,12260,0.0442
2019-08,12260,0.0503
2019-09,12260,0.0498
2019-10,12260,0.0502
2019-11,12260,0.0502
2019-12,12260,0.0498
2020-01,12260,0.0522
2020-02,12260,0.047
2020-03,12260,0.0568
2020-04,12260,0.0555
2020-05,12260,0.0608
2020-06,12260,0.059
2020-07,12260,0.0681
2020-08,12260,0.0744
2020-09,12260,0.0843
2020-10,12260,0.0882
2020-11,12260,0.0907
2020-12,12260,0.0963
2021-01,12260,0.1004
