cbsa_code,cbsa_title,year,n_indicators,score,bucket_Demand,bucket_Supply,bucket_Affordability,bucket_Momentum,bucket_Resilience,rank
16700,"Charleston-North Charleston, SC",2023,8,0.5412710030052863,0.6700819937728422,-0.291557593427005,-0.040138897664155494,0.17055436903385485,0.03233113128974985,1
10420,"Akron, OH",2023,8,0.5016151479305082,-0.07265106284172418,0.29117230598099775,0.1169268089967233,0.1377020233077795,0.028465072486731857,2
36540,"Omaha, NE-IA",2023,8,0.4519908147626124,0.08057827891149467,0.03799962948106335,0.16652441315731972,0.14913773122608173,0.017750761986652923,3
38940,"Port St. Lucie, FL",2023,8,0.43690073514897704,0.9451287957201893,-0.36111018344320817,-0.16711124458910392,0.011129390975726516,0.008863976485373324,4
16860,"Chattanooga, TN-GA",2023,8,0.4105109045090224,0.40775336447884153,0.025911651094187093,-0.015108643648101588,0.01819681303975935,-0.02624228045566397,5
30460,"Lexington-Fayette, KY",2023,8,0.38539214506177183,0.10263765743858426,0.06300403617889228,0.07889760429834564,0.14506407931165136,-0.004211232165701681,6
31540,"Madison, WI",2023,8,0.3802959872297657,0.035022608788003166,-0.12792257873267138,0.17726201599895547,0.2752319396145362,0.020702001560942287,7
15380,"Buffalo-Cheektowaga, NY",2023,8,0.3774598333527917,-0.1008906157289729,0.3095084632614772,0.036586190378915105,0.09859469473031186,0.033661100711060425,8
10580,"Albany-Schenectady-Troy, NY",2023,8,0.37315188545115635,0.025117705526602307,0.24377424481082732,0.08661586836615466,0.013546963130009193,0.004097103617562871,9
46140,"Tulsa, OK",2023,8,0.36700326544444584,0.25745467578781983,0.043749460816958935,0.10513341358879816,-0.01376164353379194,-0.025572641215339073,10
41180,"St. Louis, MO-IL",2023,8,0.337723630786083,-0.05657645482735271,0.21160364204795953,0.12690794277124098,0.07421088241564779,-0.0184223816214126,11
26620,"Huntsville, AL",2023,8,0.3372212091288599,0.6939740784745404,-0.41158119732053056,0.10179573697992807,-0.020746625652091667,-0.026220783352986346,12
38860,"Portland-South Portland, ME",2023,8,0.3306933512050964,0.21509496683179463,0.06022838910182356,-0.012951121051427327,0.0713339905545128,-0.003012874231607237,13
14860,"Bridgeport-Stamford-Danbury, CT",2023,8,0.3018218496801058,-0.17282440559835371,0.25591219601117476,0.1614761946914762,0.02134867471843301,0.035909189857375505,14
28940,"Knoxville, TN",2023,8,0.2968735402977989,0.4698242784938882,-0.08345726791512958,-0.06449175111657318,0.19973049256387365,-0.2247322117282602,15
19660,"Deltona-Daytona Beach-Ormond Beach, FL",2023,8,0.2955611395619459,0.6884478814461946,-0.23159846041477838,-0.15208086979856442,-0.013153657135381282,0.003946245464475393,16
19430,"Dayton-Kettering-Beavercreek, OH",2023,8,0.2865763637960971,-0.06925549852331445,0.23685052792397035,0.021036388710955076,0.09898997627719658,-0.0010450305927104597,17
17410,"Cleveland, OH",2023,8,0.28456983382733503,-0.16205568363347614,0.2717858004088003,0.057009458731442156,0.06288462159733292,0.05494563672323574,18
30780,"Little Rock-North Little Rock-Conway, AR",2023,8,0.2749584997126882,0.11260241702622825,0.1472047571140507,0.06083013456767329,-0.012938568479347122,-0.032740240515916945,19
36260,"Ogden, UT",2023,8,0.256296327273324,0.17105962030942637,-0.030226902930640603,0.10747507257077782,-0.053967799217128236,0.06195633654088868,20
33340,"Milwaukee-Waukesha, WI",2023,8,0.2560304858378907,-0.27991201013754713,0.2558267842114461,0.163663800733399,0.09108648692411357,0.025365424106479115,21
48620,"Wichita, KS",2023,8,0.239056264586921,0.08011421862349115,0.0005703943761114524,0.10141455155977266,0.1076389655724323,-0.050681865544886545,22
36420,"Oklahoma City, OK",2023,8,0.22180580370693823,0.1607668424398699,0.05537719170958595,0.051878524661729916,-0.03367677568500415,-0.012539979419243381,23
17140,"Cincinnati, OH-KY-IN",2023,8,0.2212293320734556,-0.12893921749553308,0.18593418677432996,0.056009991918582386,0.11340401274992871,-0.005179641873852395,24
46060,"Tucson, AZ",2023,8,0.21277511901663468,0.1307177797068695,0.05110138664134908,0.04387251937917979,-0.031534128557557294,0.01861756184679361,25
25420,"Harrisburg-Carlisle, PA",2023,8,0.2108940255293013,-0.05448085058730436,0.16361014253125794,0.056667773685922046,0.035048358488981836,0.01004860141044383,26
37340,"Palm Bay-Melbourne-Titusville, FL",2023,8,0.2091861031666991,0.6577686809219312,-0.27172555235196694,-0.1637731817198702,-0.028023488510792605,0.01493964482739772,27
12580,"Baltimore-Columbia-Towson, MD",2023,8,0.2088967258609617,0.013994094174777788,0.19020031827930092,0.029828574619397377,-0.04440964649015775,0.019283385277643325,28
