cbsa_code,cbsa_title,year,n_indicators,score,bucket_Demand,bucket_Supply,bucket_Affordability,bucket_Momentum,bucket_Resilience,rank
19430,"Dayton-Kettering-Beavercreek, OH",2024,7,0.478665454961763,0.023837506394448704,0.22054194515373063,0.0964425102813414,0.11857187137334405,0.01927162175889825,1
10420,"Akron, OH",2024,8,0.47340622585551667,-0.057905967337075946,0.2711356386414428,0.11387518573872801,0.12481793125525936,0.021483437557162467,2
10580,"Albany-Schenectady-Troy, NY",2024,8,0.4701074073541303,0.06219897467321991,0.21804904617362628,0.08468620880085112,0.08513144710848049,0.020041730597952553,3
23420,"Fresno, CA",2024,8,0.442173094907189,0.5632272344823229,0.08822893972496006,-0.23291035115031997,0.0033082730357527957,0.020318998814473212,4
17410,"Cleveland, OH",2024,8,0.4271071837013329,-0.08525920715995572,0.2641002917499212,0.047218151798410726,0.17694839331737613,0.024099553995580548,5
45060,"Syracuse, NY",2024,8,0.40961089530095973,-0.040550622228772114,0.30002937878669655,-0.06624683180884555,0.19577776375744949,0.020601206794431316,6
46140,"Tulsa, OK",2024,8,0.36747609247980134,0.11108281671677069,0.08549674480403201,0.10284000805029636,0.06876780274420587,-0.0007112798355035546,7
29540,"Lancaster, PA",2024,8,0.360559388749431,-0.11151362804813955,0.22547736504221677,0.13171147077667944,0.09260895867875678,0.022275222299917553,8
41940,"San Jose-Sunnyvale-Santa Clara, CA",2024,8,0.3493150813577191,-0.32060990821814006,0.21504447482535793,0.4455191867501367,-0.01026445312741524,0.019625781127779802,9
15380,"Buffalo-Cheektowaga, NY",2024,8,0.3473449466195807,-0.12141543679375191,0.32063030929078634,0.03145052577515505,0.09160302556600652,0.025076522781384714,10
33340,"Milwaukee-Waukesha, WI",2024,8,0.3389912801594008,-0.12872117722406506,0.2118414253807225,0.16240915118291865,0.07161640533633426,0.02184547548349041,11
25540,"Hartford-West Hartford-East Hartford, CT",2024,7,0.32996115792964686,-0.18086002293208206,0.27917867635820093,0.01609639403846755,0.19182909043760457,0.02371702002745591,12
41860,"San Francisco-Oakland-Fremont, CA",2024,8,0.31889233469182876,-0.24285062392556578,0.3012570432490725,0.3236389004691884,-0.08709515875356065,0.023942173652694364,13
39300,"Providence-Warwick, RI-MA",2024,8,0.3153617032748256,-0.08466175826985292,0.28534019290698104,-0.060648094321901436,0.16157765171929508,0.01375371124030386,14
38300,"Pittsburgh, PA",2024,8,0.3117527378568371,-0.028479272280132098,0.25136256087746967,0.01265283511938603,0.051757719787413003,0.0244588943527005,15
30780,"Little Rock-North Little Rock-Conway, AR",2024,8,0.3079496271367657,0.03633783270922382,0.1542014197404793,0.05206449744621601,0.06648887185293649,-0.0011429946120899502,16
42540,"Scranton--Wilkes-Barre, PA",2024,8,0.2962322241118589,-0.09747135435233102,0.33015644009243944,-0.029045755533191178,0.07407299952379039,0.01851989438115128,17
39900,"Reno, NV",2024,8,0.2827988684165642,0.3032696382114365,-0.17469950366570164,0.18406377699002135,-0.03834537150486489,0.008510328385672882,18
31140,"Louisville/Jefferson County, KY-IN",2024,8,0.274962535298638,-0.003458787960274802,0.08634198468510255,0.07811267773198938,0.13563115784694385,-0.021664497005122983,19
25420,"Harrisburg-Carlisle, PA",2024,8,0.27309074649215054,0.007421812742705772,0.19437690545780967,0.057243174516329626,0.00568397475092726,0.008364879024378212,20
40380,"Rochester, NY",2024,8,0.26887150392973774,-0.09657563467577494,0.2803258365950092,-0.028953936309607388,0.09719361025955686,0.01688162806055403,21
24340,"Grand Rapids-Wyoming-Kentwood, MI",2024,8,0.24912215541507965,-0.0014883867085224989,0.1306336984919007,0.0376334319507228,0.07675500566770645,0.0055884060132721635,22
42660,"Seattle-Tacoma-Bellevue, WA",2024,8,0.2445867102156326,-0.11422474238240135,0.05952519984291007,0.2757744655478003,-0.004993701755725651,0.028505488963049216,23
13820,"Birmingham, AL",2024,8,0.23731862796961783,-0.002920406180260047,0.16829194366072822,0.04062709035163209,0.023507164048463994,0.007812836089053593,24
45780,"Toledo, OH",2024,8,0.2341627147863846,-0.1829184632995903,0.29301534577161353,0.00559213499357078,0.1088920129085022,0.009581684412288374,25
12580,"Baltimore-Columbia-Towson, MD",2024,8,0.22937194516123363,-0.051973708242284686,0.2305033052213426,0.02965313499470756,0.0021886507355883067,0.019000562451879862,26
10740,"Albuquerque, NM",2024,8,0.2253464864747133,0.015778165596496613,0.1673397570460888,0.027368159239394868,0.01118085106540647,0.0036795535273265382,27
38860,"Portland-South Portland, ME",2024,8,0.22266814055111422,0.12581604443519329,0.0629124768119803,-0.017832030099360685,0.05345544827604453,-0.0016837988727432284,28
26620,"Huntsville, AL",2024,8,0.2119815311353045,0.5418433627078673,-0.3513148411618272,0.10481488296620026,-0.09847127432387645,0.015109400946940669,29
