horizon,regime,mean_tau_fin,mean_tau_ps,mean_precision@10_fin,mean_precision@10_ps
1,pre_covid,0.6348112593409861,0.6362751764343344,0.775,0.7750000000000001
1,shock,0.34301666378235185,0.3095433767666203,0.44999999999999996,0.4
1,normalization,0.21134235354828368,0.2993492273894079,0.5,0.4
1,POOLED,0.490945816925276,0.4947909552371409,0.6428571428571429,0.6142857142857144
3,pre_covid,0.5859672720696868,0.5959984659943924,0.8500000000000001,0.8500000000000001
3,shock,0.1323417308489303,0.06746164513804555,0.25,0.2
3,POOLED,0.4347587583294346,0.4198195257089435,0.65,0.6333333333333334
