year,spearman,top10_overlap
2016,0.9851948695985393,9
2017,0.9833013998151613,7
2018,0.9753217771566395,10
2019,0.9898564118747605,8
2021,0.9689110294614881,9
2022,0.9752947275883056,6
2023,0.9918851294998084,9
