horizon,regime,mean_tau_fin,mean_tau_ps,mean_precision@10_fin,mean_precision@10_ps
1,pre_covid,0.6362275349839103,0.5821711409565862,0.775,0.8
1,shock,0.3492097131015789,0.23852922001738502,0.44999999999999996,0.25
1,normalization,0.2561710425989695,0.22354123507754534,0.6,0.3
1,POOLED,0.4999286583911098,0.4327548912769515,0.6571428571428571,0.5714285714285714
3,pre_covid,0.5875430175514511,0.5602733666730431,0.8500000000000001,0.85
3,shock,0.1567585695616021,0.008162904551964889,0.25,0.30000000000000004
3,POOLED,0.44394820155483483,0.376236545966017,0.65,0.6666666666666666
