year,spearman,top10_overlap
2016,0.9370195883957352,9
2017,0.9161643712102429,9
2018,0.878276942497126,8
2019,0.838721457070081,7
2021,0.7685638933345356,4
2022,0.8182719834095981,4
2023,0.8813335437188647,6
