year,n,pearson_levels,spearman_rank
2016,382,0.9586338874040956,0.9342105808428103
2017,382,0.9890791610667224,0.9073610922819928
2018,382,0.9906833099059893,0.897659626672694
2019,382,0.9930839403815188,0.9201500449091732
2020,382,0.9722101330444534,0.8675426153946555
2021,382,0.9878114071397333,0.8670856751487453
2022,387,0.9899140788231937,0.8876339864545055
2023,387,0.9880613294178148,0.9219839849242645
