horizon,regime,n_windows_fin,mean_tau_fin,mean_precision@10_fin,n_windows_vint,mean_tau_vint,mean_precision@10_vint
1,pre_covid,4,0.6362275349839103,0.775,4,0.629624513599154,0.725
1,shock,2,0.3492097131015789,0.44999999999999996,2,0.3342448087295354,0.4
1,normalization,1,0.2561710425989695,0.6,1,0.2813880464554736,0.5
1,POOLED,7,0.4999286583911098,0.6571428571428571,7,0.49548224547302283,0.5999999999999999
3,pre_covid,4,0.5875430175514511,0.8500000000000001,4,0.5676959735926386,0.7749999999999999
3,shock,2,0.1567585695616021,0.25,2,0.13680571252781396,0.25
3,POOLED,6,0.44394820155483483,0.65,6,0.42406588657103034,0.6
