year,n,spearman
2016,108,0.9556191737472242
2017,108,0.9576817365649084
2018,108,0.9389710050455925
2019,108,0.9302015405020434
2020,108,0.949379087624438
2021,108,0.9386566190271926
2022,108,0.9344266980523575
2023,108,0.8982961230589734
