year,spearman,top10_overlap
2016,0.9429975429975429,9
2017,0.9398417600252461,8
2018,0.9014313729910061,8
2019,0.9092667312850798,8
2021,0.8747514820909317,8
2022,0.8602979960778127,5
2023,0.8958771949597637,6
