year,n,spearman
2016,107,0.05347871235721703
2017,107,-0.012735359235094732
2018,107,0.18247810497854583
2019,107,0.17516017163345676
2020,107,0.08312271008444523
2021,107,0.031221222986343774
2022,107,0.2614765179568565
2023,107,0.12349379885969552
