variant,pooled_tau_3y,retention
finalized (all real),0.44394820155483483,1.0
only migration proxied,0.4231857816224651,0.9532323368815242
pseudo but jobs+income finalized,0.42737381121939366,0.9626659365272956
full pseudo-nowcast,0.33195801615941295,0.7477404233124497
